Title,trackId,Popularity,Artist,artistId,Top Year,Genre,Speechiness,Acousticness,Liveness,Danceability,Energy,Loudness,Valence,Duration,BPM,ImageURL,SpotifyURL,Release Date
Deuces (feat. Tyga & Kevin McCall),6wN4nT2qy3MQc098yL3Eu9,68,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,2010,dance pop,0.11,0.0324,0.0787,0.692,0.736,-5.109,0.217,276560,73.987,https://i.scdn.co/image/ab67616d0000b2730a1d20ec09cab4bb17a36aab,https://open.spotify.com/track/6wN4nT2qy3MQc098yL3Eu9,2011
OMG (feat. will.i.am),1bM50INir8voAkVoKuvEUI,72,Usher,23zg3TcAtWQy7J6upgbUnj,2010,atl hip hop,0.0332,0.198,0.36,0.781,0.745,-5.81,0.326,269493,129.998,https://i.scdn.co/image/ab67616d0000b27386b0c9728ad3ed338eaeea79,https://open.spotify.com/track/1bM50INir8voAkVoKuvEUI,2010
My Chick Bad,3bMNprrp2JDKZsGbiXpsJl,67,Ludacris,3ipn9JLAPI5GUEo4y4jcoi,2010,atl hip hop,0.378,0.172,0.483,0.624,0.723,-6.782,0.757,216933,84.789,https://i.scdn.co/image/ab67616d0000b2739bfafd29c34d738803a6a033,https://open.spotify.com/track/3bMNprrp2JDKZsGbiXpsJl,2010
Baby,6epn3r7S14KUqlReYr77hA,81,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,2010,canadian pop,0.137,0.0401,0.111,0.728,0.859,-5.237,0.535,214240,65.043,https://i.scdn.co/image/ab67616d0000b273629dc9e2e3bc20bbd7d92e4a,https://open.spotify.com/track/6epn3r7S14KUqlReYr77hA,2010
Like A G6,4DvhkX2ic4zWkQeWMwQ2qf,69,Far East Movement,698hF4vcwHwPy8ltmXermq,2010,asian american hip hop,0.449,0.00676,0.117,0.435,0.837,-8.126,0.778,216893,124.913,https://i.scdn.co/image/ab67616d0000b27358b08d62231dfca8d358b876,https://open.spotify.com/track/4DvhkX2ic4zWkQeWMwQ2qf,2010
Kickstarts,07WEDHF2YwVgYuBugi2ECO,63,Example,6Vh6UDWfu9PUSXSzAaB3CW,2010,dance pop,0.0573,0.00374,0.358,0.61,0.836,-4.455,0.657,181827,126.056,https://i.scdn.co/image/ab67616d0000b27316a7b71782fa0d8d30d697e7,https://open.spotify.com/track/07WEDHF2YwVgYuBugi2ECO,2010
Down,6cmm1LMvZdB5zsCwX5BjqE,77,Jay Sean,4pADjHPWyrlAF0FA7joK2H,2010,dance pop,0.0286,0.0101,0.0821,0.727,0.68,-4.498,0.728,212507,132.012,https://i.scdn.co/image/ab67616d0000b273e207a14471e5356294146e9d,https://open.spotify.com/track/6cmm1LMvZdB5zsCwX5BjqE,2009
Hey Daddy (Daddy's Home),030OCtLMrljNhp8OWHBWW3,61,Usher,23zg3TcAtWQy7J6upgbUnj,2010,atl hip hop,0.0286,0.000176,0.107,0.59,0.698,-4.262,0.352,224093,95.975,https://i.scdn.co/image/ab67616d0000b27386b0c9728ad3ed338eaeea79,https://open.spotify.com/track/030OCtLMrljNhp8OWHBWW3,2010
My First Kiss (feat. Ke$ha),17tDv8WA8IhqE8qzuQn707,61,3OH!3,0FWzNDaEu9jdgcYTbcOa4F,2010,dance pop,0.0804,0.00564,0.36,0.682,0.889,-4.166,0.827,192440,138.021,https://i.scdn.co/image/ab67616d0000b273bc805cd88b018b0adaec9a8c,https://open.spotify.com/track/17tDv8WA8IhqE8qzuQn707,2010
Ridin' Solo,6BaxqcoEM9r3LXisTyJjST,64,Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,2010,dance pop,0.146,0.128,0.129,0.442,0.83,-4.02,0.578,215747,89.338,https://i.scdn.co/image/ab67616d0000b273c7b1b93cd2dcb8d528a30a1d,https://open.spotify.com/track/6BaxqcoEM9r3LXisTyJjST,2010
Magic (feat. Rivers Cuomo),5uHYcK0nbEYgRaFTY5BqnP,65,B.o.B,5ndkK3dpZLKtBklKjxNQwT,2010,atl hip hop,0.343,0.0127,0.347,0.549,0.932,-4.11,0.787,196133,82.439,https://i.scdn.co/image/ab67616d0000b273484d121f0e2d2caf87d5d10b,https://open.spotify.com/track/5uHYcK0nbEYgRaFTY5BqnP,2010
Blah Blah Blah (feat. 3OH!3),7lWUJpax919G4JdaFEVmCy,60,Kesha,6LqNN22kT3074XbTVUrhzX,2010,dance pop,0.115,0.0843,0.424,0.752,0.836,-3.173,0.519,172053,120.003,https://i.scdn.co/image/ab67616d0000b2737a6339d6ddfd579f77559b3c,https://open.spotify.com/track/7lWUJpax919G4JdaFEVmCy,2010
Te Amo,4YYHgF9dWyVSor0GtrBzdf,69,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,2010,barbadian pop,0.0818,0.541,0.1,0.567,0.707,-5.455,0.751,208427,171.917,https://i.scdn.co/image/ab67616d0000b273ab647295c0c97446c1f1a3b5,https://open.spotify.com/track/4YYHgF9dWyVSor0GtrBzdf,2009
I Like It,4nVyHATevhl5RC6Qmoko5H,65,Enrique Iglesias,7qG3b048QCHVRO5Pv1T5lw,2010,latin pop,0.0838,0.0209,0.0691,0.646,0.94,-2.856,0.704,231787,129.011,https://i.scdn.co/image/ab67616d0000b27361b07d8471f34aa6616eaf21,https://open.spotify.com/track/4nVyHATevhl5RC6Qmoko5H,2010
Back To December,3DrjZArsPsoqbLzUZZV1Id,68,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2010,pop,0.0303,0.117,0.334,0.529,0.67,-4.663,0.286,293027,141.893,https://i.scdn.co/image/ab67616d0000b273e11a75a2f2ff39cec788a015,https://open.spotify.com/track/3DrjZArsPsoqbLzUZZV1Id,2010
Billionaire (feat. Bruno Mars),2M9ULmQwTaTGmAdXaXpfz5,71,Travie McCoy,7o9Nl7K1Al6NNAHX6jn6iG,2010,pop rap,0.258,0.297,0.206,0.633,0.673,-6.403,0.659,211160,86.776,https://i.scdn.co/image/ab67616d0000b27337ce3dd20c2318e13c6608ed,https://open.spotify.com/track/2M9ULmQwTaTGmAdXaXpfz5,2010
Replay,5vlEg2fT4cFWAqU5QptIpQ,72,Iyaz,5tKXB9uuebKE34yowVaU3C,2010,dance pop,0.0708,0.173,0.168,0.706,0.751,-6.323,0.195,182307,91.031,https://i.scdn.co/image/ab67616d0000b273322b086aec3e63cc7caf30c6,https://open.spotify.com/track/5vlEg2fT4cFWAqU5QptIpQ,2009
Forget You,7AqISujIaWcY3h5zrOqt5v,63,CeeLo Green,5nLYd9ST4Cnwy6NHaCxbj8,2010,atl hip hop,0.0649,0.134,0.159,0.696,0.875,-3.682,0.772,222733,127.39,https://i.scdn.co/image/ab67616d0000b2736b078e2d971229c90e75afdc,https://open.spotify.com/track/7AqISujIaWcY3h5zrOqt5v,2010
STARSTRUKK (feat. Katy Perry),1hBM2D1ULT3aeKuddSwPsK,64,3OH!3,0FWzNDaEu9jdgcYTbcOa4F,2010,dance pop,0.0608,0.00175,0.231,0.607,0.805,-5.579,0.232,202667,139.894,https://i.scdn.co/image/ab67616d0000b273bc12db3758aeb3b198fb362d,https://open.spotify.com/track/1hBM2D1ULT3aeKuddSwPsK,2009
Do You Remember,6A5NlmBCsCGbJ27jHQgKV5,68,Jay Sean,4pADjHPWyrlAF0FA7joK2H,2010,dance pop,0.0705,0.0204,0.101,0.854,0.674,-4.896,0.818,210800,125.845,https://i.scdn.co/image/ab67616d0000b273e207a14471e5356294146e9d,https://open.spotify.com/track/6A5NlmBCsCGbJ27jHQgKV5,2009
Half of My Heart,7hR5toSPEgwFZ78jfHdANM,64,John Mayer,0hEurMDQu99nJRq8pTxO14,2010,neo mellow,0.0251,0.435,0.106,0.681,0.593,-9.327,0.731,250373,115.058,https://i.scdn.co/image/ab67616d0000b2731e3dbe4453ed61633c472fbe,https://open.spotify.com/track/7hR5toSPEgwFZ78jfHdANM,2009
Stuck Like Glue,0JcKdUGNR7zI4jJDLyYXbi,64,Sugarland,0hYxQe3AK5jBPCr5MumLHD,2010,contemporary country,0.0568,0.329,0.0505,0.702,0.795,-4.764,0.836,247587,83.961,https://i.scdn.co/image/ab67616d0000b273a5eb87ae91a4e2235c8fec75,https://open.spotify.com/track/0JcKdUGNR7zI4jJDLyYXbi,2010
